"A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15"
"1",97,82,"2","13","4",17,"1","1",8,"0","2",1,223,"1"
"0",200,85,"2","1","1",1,"0","1",7,"0","2",1,77,"0"
"0",29,151,"2","2","4",11,"0","0",1,"0","2",24,34,"0"
"1",238,102,"2","3","5",6,"0","0",1,"0","2",158,1,"0"
"1",81,33,"2","8","4",14,"0","0",1,"1","1",98,1,"0"
"1",219,1,"2","8","4",1,"0","0",1,"0","3",65,1,"1"
"0",92,189,"2","11","8",37,"0","0",1,"0","2",98,2,"0"
"0",276,185,"2","3","5",89,"1","1",10,"1","2",1,1,"1"
"1",190,106,"2","9","4",3,"0","0",1,"1","2",100,7,"1"
"1",66,20,"1","1","1",1,"0","0",1,"0","2",32,1,"0"
"1",125,41,"2","4","8",7,"0","0",1,"1","1",45,1,"0"
"1",258,89,"2","6","4",2,"0","0",1,"0","2",34,50,"0"
"1",135,193,"2","2","4",4,"0","0",1,"0","2",1,93,"0"
"1",208,102,"2","8","5",58,"1","1",7,"0","2",1,104,"1"
"0",24,151,"1","11","8",5,"0","0",1,"0","2",111,1,"0"
"1",55,46,"2","9","4",37,"0","0",1,"0","2",49,9,"1"
"0",228,50,"2","6","4",7,"0","0",1,"0","2",1,106,"0"
"1",167,2,"1","7","4",2,"0","0",1,"0","2",1,1,"0"
"0",15,144,"2","6","4",43,"0","1",11,"1","2",1,11,"0"
"0",47,29,"2","11","4",39,"1","1",2,"0","2",1,1,"1"
"0",230,87,"2","8","4",65,"0","0",1,"0","2",149,1,"0"
"1",226,9,"2","4","4",3,"1","0",1,"1","2",98,1,"1"
"1",124,190,"2","9","4",95,"1","0",1,"1","2",150,115,"1"
"1",125,20,"1","13","4",7,"1","1",3,"0","2",92,115,"1"
"1",34,1,"1","1","1",1,"0","1",5,"0","2",13,2,"0"
"0",95,30,"2","14","8",27,"1","0",1,"1","2",53,220,"1"
"1",124,55,"2","14","8",26,"1","1",5,"0","2",45,224,"1"
"1",67,139,"2","6","4",3,"0","0",1,"0","2",1,1,"0"
"0",295,188,"2","4","8",110,"1","0",1,"1","2",1,1,"1"
"1",173,66,"2","8","4",31,"0","0",1,"1","2",98,1,"0"
"1",222,154,"1","4","4",4,"0","0",1,"0","2",53,1,"0"
"1",279,119,"2","8","4",26,"0","0",1,"1","2",1,82,"0"
"1",126,87,"1","3","8",95,"1","1",3,"1","2",22,1,"0"
"0",204,31,"2","6","4",20,"1","1",5,"0","2",1,175,"1"
"1",184,10,"2","3","5",76,"0","0",1,"1","1",136,1,"0"
"1",189,3,"1","7","5",2,"1","1",2,"1","2",98,180,"1"
"0",50,158,"2","13","8",9,"1","1",2,"1","2",24,36,"1"
"1",181,33,"2","14","4",20,"1","1",8,"1","2",111,207,"1"
"1",73,164,"2","11","4",58,"1","1",8,"1","2",32,140,"1"
"1",290,136,"2","8","8",119,"1","1",10,"0","2",64,177,"1"
"1",242,102,"2","8","4",85,"1","1",8,"0","2",1,201,"1"
"1",49,29,"1","8","4",47,"0","0",1,"1","1",86,1,"0"
"0",227,46,"2","1","1",1,"0","0",1,"0","2",23,1,"0"
"0",323,205,"2","8","4",93,"1","1",8,"0","2",1,200,"1"
"0",160,85,"2","13","8",17,"1","1",10,"1","2",64,1,"1"
"1",64,27,"2","9","4",8,"0","1",2,"0","2",136,91,"0"
"0",327,151,"2","11","4",76,"1","1",15,"0","2",1,176,"1"
"1",137,13,"2","8","4",8,"0","0",1,"0","2",77,62,"0"
"0",273,87,"2","5","3",1,"1","0",1,"0","2",32,148,"1"
"1",52,73,"1","2","4",28,"1","1",9,"1","2",53,2,"1"
"0",92,180,"2","6","4",37,"1","1",13,"1","2",38,121,"1"
"0",51,17,"1","10","2",26,"0","0",1,"0","2",92,1,"0"
"1",91,187,"1","1","1",1,"0","0",1,"0","2",65,1,"0"
"0",112,69,"1","8","4",3,"0","0",1,"0","1",24,1,"0"
"1",244,29,"2","1","1",1,"1","0",1,"0","2",42,2,"0"
"0",223,93,"2","8","4",4,"0","0",1,"0","2",53,1,"0"
"1",39,20,"2","1","1",1,"0","1",4,"0","2",114,137,"0"
"1",232,144,"2","7","4",99,"1","1",15,"0","2",86,211,"1"
"1",104,17,"2","8","4",36,"1","1",6,"1","2",106,1,"1"
"0",274,73,"2","8","4",55,"1","1",9,"1","2",129,208,"1"
"1",40,151,"1","4","8",23,"1","0",1,"1","2",45,1,"0"
"0",67,40,"1","1","1",71,"0","0",1,"0","2",98,1,"0"
"1",32,83,"1","1","1",1,"0","0",1,"1","2",63,2,"0"
"1",339,206,"2","14","8",129,"1","1",10,"1","2",1,150,"1"
"0",11,40,"2","11","4",7,"0","1",2,"0","2",34,48,"0"
"0",343,196,"2","10","9",1,"1","1",15,"0","2",1,204,"1"
"1",349,210,"2","10","9",120,"1","1",2,"1","2",1,53,"1"
"0",5,72,"2","11","4",3,"0","0",1,"0","2",38,1,"0"
"1",197,87,"2","2","5",119,"1","0",1,"1","2",65,1,"0"
"0",280,132,"2","10","5",99,"1","1",7,"0","2",123,239,"1"
"1",78,1,"2","8","4",1,"0","0",1,"0","3",65,1,"1"
"1",270,46,"2","8","4",58,"1","0",1,"1","2",45,1,"0"
"1",2,123,"2","10","4",26,"0","0",1,"0","2",161,1,"0"
"1",32,14,"1","8","4",5,"0","1",2,"0","2",69,2,"0"
"1",307,119,"2","4","4",98,"1","1",16,"0","2",1,231,"1"
"1",35,1,"1","7","5",1,"0","0",1,"1","1",152,2,"1"
"1",22,6,"2","11","7",6,"0","0",1,"0","2",69,32,"1"
"1",218,29,"2","10","4",2,"0","0",1,"0","2",38,6,"0"
"1",72,48,"1","9","4",67,"1","1",7,"0","2",24,1,"1"
"1",283,91,"2","14","5",3,"0","0",1,"1","2",156,1,"0"
"1",189,66,"2","8","4",26,"0","0",1,"0","2",146,17,"0"
"0",180,49,"2","2","4",15,"0","0",1,"1","2",1,1,"0"
"1",261,13,"1","8","4",10,"1","1",9,"1","2",102,70,"1"
"1",193,88,"1","3","5",110,"1","1",8,"1","2",68,1,"1"
"1",258,73,"2","3","5",26,"1","0",1,"0","2",1,77,"0"
"1",25,6,"2","2","4",7,"0","0",1,"1","1",98,1,"0"
"1",77,66,"2","1","1",3,"0","0",1,"1","2",32,209,"0"
"0",70,135,"1","14","4",57,"0","0",1,"0","2",55,1,"1"
"1",21,8,"2","6","4",2,"0","0",1,"0","2",98,135,"0"
"1",27,159,"1","6","4",4,"1","0",1,"0","2",38,105,"0"
"0",124,46,"2","7","4",47,"1","0",1,"0","1",118,1,"0"
"0",33,141,"1","8","4",26,"1","1",5,"1","2",24,115,"1"
"1",72,26,"2","3","4",39,"0","1",2,"1","2",131,10,"0"
"1",336,183,"1","8","8",85,"1","0",1,"0","2",36,1,"0"
"0",82,139,"2","11","4",110,"1","1",6,"1","2",38,1,"1"
"1",201,77,"2","14","8",74,"1","0",1,"1","2",163,1,"0"
"0",322,92,"1","1","1",85,"0","0",1,"1","2",1,5,"0"
"0",309,6,"2","1","1",1,"0","0",1,"1","1",19,26,"0"
"1",246,88,"2","13","8",101,"1","1",9,"0","2",107,1,"1"
"1",255,103,"2","11","8",120,"1","0",1,"1","2",27,1,"1"
"1",246,40,"1","9","4",7,"0","0",1,"0","2",1,75,"0"
"0",186,26,"2","4","5",26,"1","1",4,"1","2",75,1,"0"
"1",103,180,"2","13","4",30,"1","1",23,"1","2",45,89,"1"
"1",88,120,"1","2","4",93,"1","0",1,"1","1",32,1,"1"
"1",80,171,"1","9","4",23,"1","0",1,"1","2",53,94,"1"
"1",155,66,"2","13","8",52,"0","0",1,"1","1",111,1,"0"
"1",215,87,"2","8","5",85,"1","0",1,"1","1",98,1,"0"
"1",110,47,"2","9","4",4,"0","0",1,"0","2",32,1,"0"
"0",144,22,"2","9","4",7,"0","0",1,"1","2",102,1,"0"
"0",76,54,"2","5","3",1,"0","1",2,"0","2",69,37,"0"
"1",14,73,"2","4","4",2,"0","0",1,"1","2",53,32,"0"
"1",139,195,"2","6","4",86,"1","1",6,"1","2",57,1,"1"
"0",134,83,"2","3","5",14,"1","0",1,"1","2",59,1,"0"
"1",194,1,"2","8","4",1,"0","0",1,"0","3",65,1,"0"
"1",81,20,"2","8","8",3,"1","0",1,"0","2",63,1,"0"
"1",95,167,"2","8","4",58,"1","1",18,"0","2",69,159,"1"
"0",31,127,"2","11","4",62,"1","1",6,"0","2",65,236,"1"
"1",13,10,"2","11","4",9,"0","1",5,"0","2",53,9,"0"
"0",7,12,"2","1","1",1,"0","1",2,"0","2",53,59,"0"
"1",178,66,"2","6","4",43,"0","1",3,"1","2",165,1,"0"
"0",46,151,"2","8","8",26,"1","1",5,"0","2",15,174,"1"
"0",61,52,"1","5","3",1,"0","0",1,"0","2",53,1,"0"
"1",181,34,"2","12","8",99,"1","0",1,"1","2",55,237,"1"
"0",99,57,"2","8","8",63,"1","0",1,"1","2",117,2,"0"
"0",92,73,"2","11","8",44,"1","1",19,"0","2",1,115,"1"
"1",157,1,"2","9","4",31,"1","1",2,"0","2",70,1,"1"
"1",50,104,"1","5","4",8,"0","0",1,"0","2",45,74,"0"
"0",241,133,"1","4","4",5,"0","1",3,"0","2",65,19,"0"
"1",140,40,"2","8","8",7,"0","1",3,"1","2",131,52,"0"
"1",244,17,"1","7","4",14,"0","0",1,"1","2",42,1,"0"
"0",141,16,"2","4","4",15,"1","1",5,"0","2",124,115,"1"
"1",312,17,"1","4","8",75,"1","0",1,"0","2",63,95,"1"
"1",188,109,"1","8","4",37,"0","0",1,"1","2",18,1,"0"
"1",95,175,"2","4","4",52,"1","1",3,"1","2",38,6,"0"
"0",113,67,"1","1","1",1,"0","0",1,"1","2",63,41,"0"
"0",180,97,"2","11","8",40,"1","1",3,"0","2",1,1,"1"
"1",185,59,"2","8","4",37,"0","0",1,"0","3",38,1,"0"
"1",207,109,"2","3","5",85,"0","0",1,"0","2",73,129,"0"
"1",38,11,"2","4","4",8,"0","0",1,"0","2",98,103,"0"
"1",87,30,"2","11","4",83,"1","1",3,"1","2",156,180,"1"
"0",153,119,"2","8","5",76,"1","1",8,"1","2",1,201,"1"
"1",42,123,"2","8","4",14,"0","0",1,"0","2",1,1,"0"
"1",99,19,"2","8","4",8,"1","1",8,"1","2",30,214,"1"
"1",142,99,"2","7","4",47,"0","1",2,"1","2",146,43,"0"
"1",262,61,"2","3","5",20,"1","0",1,"0","2",159,1,"0"
"1",136,38,"2","4","4",14,"1","0",1,"0","1",98,1,"0"
"1",163,73,"1","3","5",101,"0","0",1,"0","2",1,2,"0"
"1",45,150,"2","10","2",1,"1","0",1,"0","2",1,1,"1"
"1",269,136,"2","13","8",124,"1","1",2,"1","2",26,180,"1"
"0",74,62,"2","11","8",53,"1","1",8,"1","2",45,193,"1"
"0",49,73,"2","11","4",5,"1","1",4,"0","2",32,7,"1"
"1",126,46,"2","9","4",52,"0","1",2,"1","2",32,4,"0"
"1",244,61,"1","14","8",115,"1","0",1,"1","2",61,1,"0"
"1",318,215,"1","8","4",132,"1","1",22,"0","2",1,16,"1"
"0",339,6,"2","1","1",1,"1","1",2,"0","2",84,50,"1"
"0",69,167,"1","14","8",20,"1","1",5,"0","2",1,97,"1"
"0",88,66,"1","3","5",81,"0","0",1,"0","2",69,111,"0"
"0",345,115,"2","1","1",1,"0","0",1,"0","1",1,1,"0"
"1",203,26,"2","4","4",37,"0","0",1,"1","2",83,1,"0"
"1",287,175,"2","7","4",128,"1","0",1,"0","1",35,1,"1"
"0",128,196,"1","10","9",1,"1","0",1,"0","2",1,232,"1"
"1",200,66,"2","4","4",81,"1","1",8,"0","2",49,165,"1"
"1",293,129,"2","3","5",105,"1","1",16,"1","2",1,213,"1"
"1",350,109,"2","8","4",15,"1","0",1,"0","2",1,99,"0"
"1",139,185,"2","2","8",14,"0","0",1,"0","2",81,1,"0"
"0",12,17,"2","3","4",5,"0","1",7,"1","2",86,30,"0"
"0",6,6,"2","6","4",26,"0","1",3,"1","2",107,2,"0"
"1",333,193,"2","1","1",130,"1","1",16,"1","2",1,150,"1"
"1",127,55,"2","4","8",77,"1","1",3,"1","2",64,1,"1"
"1",249,47,"2","3","5",73,"0","0",1,"0","2",76,1,"1"
"1",86,139,"2","6","4",7,"0","0",1,"1","2",1,1,"0"
"1",90,186,"1","6","4",2,"0","0",1,"1","2",38,113,"0"
"1",196,196,"2","12","7",92,"1","1",10,"1","2",1,61,"1"
"1",185,40,"2","9","4",29,"0","0",1,"0","2",38,1,"0"
"0",243,151,"2","11","8",43,"1","0",1,"0","2",8,143,"1"
"1",47,54,"2","8","4",52,"1","1",2,"0","2",32,66,"1"
"1",218,37,"1","2","4",37,"0","0",1,"1","2",138,1,"1"
"1",288,92,"2","7","4",4,"1","0",1,"1","2",80,1,"1"
"1",76,26,"2","7","4",14,"0","0",1,"1","1",107,1,"0"
"1",199,81,"2","8","8",109,"0","0",1,"1","2",1,1,"0"
"1",10,70,"2","6","4",18,"0","1",2,"0","2",24,22,"0"
"1",72,160,"2","11","8",33,"1","0",1,"0","2",32,1,"1"
"0",61,173,"2","8","4",7,"0","0",1,"1","2",63,1,"0"
"0",96,67,"1","6","4",7,"1","0",1,"1","2",120,1,"1"
"1",209,58,"1","9","4",3,"1","1",2,"0","2",15,157,"1"
"0",134,85,"2","8","4",7,"0","1",2,"1","2",11,67,"0"
"1",66,176,"2","8","4",72,"0","1",3,"1","2",63,72,"0"
"1",190,47,"2","13","4",38,"1","1",2,"1","2",156,238,"1"
"1",199,66,"2","3","4",26,"0","0",1,"1","2",73,1,"0"
"1",134,84,"2","6","4",7,"0","0",1,"1","2",32,1,"0"
"0",35,108,"2","3","8",8,"0","0",1,"0","2",24,114,"0"
"1",79,33,"2","8","4",23,"1","0",1,"0","1",102,1,"1"
"1",11,5,"2","8","4",5,"0","0",1,"0","2",43,1,"0"
"0",43,5,"2","11","4",26,"0","1",2,"0","2",86,136,"1"
"1",68,164,"2","9","4",47,"1","1",2,"0","2",24,90,"1"
"1",188,104,"1","3","5",28,"0","0",1,"1","2",149,1,"0"
"0",323,12,"2","3","5",26,"1","0",1,"1","2",88,187,"0"
"1",9,29,"2","7","4",3,"1","0",1,"0","1",69,1,"0"
"1",177,66,"2","13","8",63,"1","1",7,"0","2",53,183,"1"
"1",286,211,"2","9","4",43,"1","1",4,"0","2",38,15,"1"
"1",190,70,"2","3","5",58,"0","0",1,"1","2",84,77,"0"
"1",26,39,"1","10","2",1,"0","0",1,"0","2",32,1,"0"
"1",266,17,"2","7","4",116,"1","0",1,"0","1",131,1,"0"
"1",228,52,"2","4","4",14,"0","0",1,"1","2",102,3,"0"
"1",164,26,"1","6","4",73,"0","0",1,"1","2",107,1,"0"
"1",96,51,"2","14","4",41,"1","1",2,"1","2",128,21,"1"
"1",341,164,"2","10","9",131,"1","1",8,"1","2",5,1,"1"
"1",247,1,"2","8","5",126,"1","0",1,"0","2",1,1,"1"
"1",160,37,"2","1","1",1,"0","1",2,"0","2",30,20,"0"
"0",214,98,"2","1","1",1,"0","0",1,"0","2",53,1,"0"
"1",173,127,"2","10","5",39,"1","0",1,"1","1",136,1,"0"
"0",168,76,"2","1","1",66,"0","1",3,"1","2",69,5,"0"
"1",93,70,"2","8","4",52,"1","1",7,"0","2",65,125,"1"
"1",63,18,"1","14","4",2,"1","1",2,"1","2",167,40,"1"
"1",191,73,"2","13","8",103,"1","0",1,"1","2",1,1,"1"
"1",302,73,"1","1","1",37,"0","0",1,"0","2",63,5,"0"
"0",163,46,"2","1","1",1,"0","1",3,"1","2",69,51,"0"
"1",224,24,"2","8","4",10,"0","1",3,"0","2",80,115,"0"
"1",231,51,"2","14","4",4,"1","1",6,"1","2",149,1,"1"
"1",24,65,"2","8","7",25,"0","1",3,"1","2",53,123,"0"
"1",229,102,"2","13","4",73,"1","1",11,"1","2",1,1,"1"
"1",42,165,"2","8","4",47,"0","0",1,"1","2",44,1,"0"
"1",176,63,"2","2","8",95,"0","0",1,"1","2",101,1,"0"
"1",29,112,"2","2","4",15,"0","0",1,"0","2",38,1,"0"
"0",4,130,"2","11","4",4,"0","1",2,"1","2",1,69,"0"
"1",233,114,"2","13","8",115,"1","1",15,"1","2",130,1,"1"
"0",39,22,"2","9","4",41,"0","0",1,"0","2",77,6,"0"
"1",56,160,"2","8","4",65,"1","0",1,"1","2",1,1,"1"
"0",72,26,"2","8","4",47,"0","1",3,"1","2",69,107,"0"
"1",103,78,"2","8","8",53,"0","1",2,"1","2",135,22,"0"
"1",53,153,"1","10","8",31,"0","0",1,"0","2",92,1,"0"
"0",291,46,"2","5","3",1,"1","0",1,"1","2",32,26,"0"
"1",49,107,"2","11","4",10,"1","1",2,"0","2",53,1,"0"
"0",40,9,"2","11","8",8,"1","1",12,"0","2",24,49,"1"
"1",62,10,"2","2","8",18,"1","0",1,"1","2",1,1,"1"
"1",116,18,"2","4","1",1,"0","0",1,"0","2",32,1,"0"
"0",225,102,"2","13","4",122,"1","0",1,"1","2",169,1,"0"
"0",296,181,"2","6","4",53,"1","1",4,"1","2",52,1,"1"
"0",3,13,"2","8","4",26,"0","0",1,"0","2",38,19,"0"
"0",90,183,"2","8","5",84,"1","1",3,"0","2",21,110,"1"
"1",52,100,"1","9","4",52,"1","1",2,"1","2",24,94,"1"
"1",65,164,"2","13","4",18,"1","0",1,"0","2",32,1,"1"
"1",313,143,"2","1","1",125,"1","1",12,"1","2",9,94,"1"
"1",23,109,"2","4","4",14,"1","0",1,"0","2",24,1,"1"
"1",213,93,"1","4","4",7,"1","1",11,"1","2",107,1,"1"
"1",221,154,"2","14","4",58,"1","1",7,"0","2",156,76,"1"
"1",62,47,"2","4","4",3,"0","0",1,"1","2",116,1,"0"
"0",303,119,"2","3","5",67,"0","0",1,"1","2",21,1,"0"
"1",66,61,"2","3","4",4,"0","0",1,"0","2",53,11,"0"
"1",306,46,"2","2","4",74,"0","0",1,"1","2",1,101,"0"
"0",335,102,"2","6","4",76,"1","1",5,"0","2",1,49,"1"
"1",44,110,"2","9","4",42,"1","0",1,"0","1",38,1,"1"
"1",79,87,"2","8","5",7,"1","0",1,"1","2",53,1,"1"
"1",207,15,"1","9","4",8,"0","0",1,"1","2",104,3,"0"
"0",256,52,"1","8","4",1,"0","0",1,"1","2",49,2,"0"
"1",83,29,"2","3","8",3,"0","0",1,"1","2",77,6,"0"
"0",205,33,"2","8","4",47,"1","1",12,"0","2",1,111,"1"
"1",236,102,"2","1","1",1,"0","1",3,"0","2",2,2,"0"
"0",32,93,"1","8","8",65,"1","0",1,"0","2",86,1,"1"
"1",120,21,"2","6","4",12,"1","0",1,"1","2",69,1,"0"
"1",174,73,"2","2","4",5,"0","0",1,"1","2",38,1,"0"
"1",37,46,"1","13","4",47,"1","0",1,"1","2",32,21,"0"
"0",71,162,"2","11","4",11,"1","1",6,"1","2",1,120,"1"
"1",238,118,"2","11","4",2,"1","1",2,"0","2",69,94,"1"
"1",72,6,"2","8","3",52,"0","0",1,"1","1",1,1,"1"
"0",81,27,"1","11","4",37,"1","1",3,"1","2",24,109,"1"
"0",147,107,"2","10","2",52,"1","1",6,"1","2",31,115,"1"
"0",241,128,"1","11","8",108,"1","1",15,"0","2",1,192,"1"
"0",214,105,"2","10","4",85,"1","0",1,"1","2",1,206,"1"
"1",158,57,"2","8","4",3,"0","0",1,"0","2",102,1,"0"
"0",97,72,"2","14","8",24,"1","0",1,"0","2",117,1,"1"
"1",122,180,"2","6","5",7,"0","0",1,"1","2",165,1,"0"
"1",163,87,"2","14","4",85,"1","1",4,"1","2",100,190,"1"
"1",189,119,"2","6","4",4,"1","0",1,"1","2",142,1,"0"
"1",65,63,"2","4","4",20,"0","0",1,"0","2",63,1,"0"
"1",159,75,"2","8","4",58,"0","1",3,"1","2",53,33,"0"
"1",163,17,"2","8","5",23,"1","0",1,"1","1",107,1,"0"
"1",6,76,"2","9","4",3,"0","1",2,"0","2",1,7,"0"
"1",120,50,"2","13","8",87,"1","1",10,"0","2",130,142,"1"
"1",97,73,"2","8","4",31,"0","1",2,"0","2",1,23,"0"
"1",342,109,"2","10","9",121,"1","1",2,"1","2",1,1,"1"
"0",32,144,"2","9","4",40,"1","1",7,"1","2",11,125,"1"
"0",120,11,"2","7","8",4,"0","1",2,"1","2",95,52,"0"
"0",39,22,"1","8","4",26,"0","1",2,"0","2",171,3,"0"
"1",156,48,"2","2","4",16,"0","0",1,"1","1",1,1,"0"
"0",297,29,"2","6","4",14,"0","0",1,"1","2",86,56,"0"
"1",159,46,"1","9","4",2,"0","0",1,"0","1",53,1,"0"
"1",301,196,"2","8","4",110,"1","1",10,"0","2",1,1,"1"
"0",212,11,"2","1","1",1,"0","1",11,"0","2",69,19,"0"
"1",184,70,"2","7","4",78,"1","1",7,"0","2",71,1,"1"
"0",51,73,"2","6","4",2,"1","0",1,"0","2",32,1,"1"
"1",207,202,"2","9","4",3,"0","0",1,"0","2",107,205,"0"
"1",298,20,"2","1","1",1,"0","0",1,"0","2",48,1,"0"
"0",83,28,"2","11","4",11,"0","1",2,"1","2",69,12,"0"
"1",200,95,"2","14","8",95,"0","0",1,"1","1",164,1,"1"
"0",328,207,"2","3","5",115,"1","1",14,"0","2",1,222,"1"
"1",130,30,"2","7","4",25,"1","1",4,"1","2",129,1,"1"
"1",163,21,"2","4","4",7,"0","0",1,"0","2",124,181,"0"
"0",166,73,"1","5","3",1,"0","0",1,"0","2",53,21,"0"
"1",37,119,"2","9","8",36,"1","1",8,"0","2",24,199,"1"
"1",230,115,"2","7","4",32,"1","1",6,"1","2",34,155,"1"
"1",13,79,"2","3","4",9,"0","0",1,"1","2",45,3,"0"
"1",268,123,"1","8","4",40,"0","0",1,"0","2",53,3,"0"
"1",9,1,"1","6","4",7,"0","0",1,"0","2",18,1,"0"
"0",246,119,"2","11","4",14,"1","1",4,"1","2",48,1,"1"
"1",137,196,"2","8","8",91,"1","1",12,"0","2",1,191,"1"
